#geneID	transcript	cds-parts	phases	chr	strand	start	end	full-length	longest intron	smallest exon
gene2	RNA4	0, 1, 2, 3	0,0,1,1	NW_014569547.1	1	113610	161788	true	41142	47
gene3	RNA5	0, 1, 2, 3, 4, 5, 6, 7	0,0,1,0,0,0,0,0	NW_014569547.1	-1	165661	169468	true	321	53
gene4	RNA6	0, 1, 2	0,0,0	NW_014569547.1	-1	170326	171279	true	324	18
gene5	RNA7	0, 1, 2, 3, 4, 5	0,0,0,2,1,2	NW_014569547.1	1	171736	174265	true	328	49
gene6	RNA8	0, 1, 2, 3, 4, 5	0,0,2,0,1,2	NW_014569547.1	1	177201	179717	true	133	74
gene7	RNA9	0, 1, 2, 3, 4	0,0,0,1,2	NW_014569547.1	1	181860	184277	true	133	69
gene8	RNA10	0, 1, 2, 3, 4, 5	0,0,2,0,1,2	NW_014569547.1	1	185834	188530	true	206	73
gene9	RNA11	0, 1, 2, 3, 4, 5	0,0,0,0,2,0	NW_014569547.1	1	190178	191702	true	170	3
gene10	RNA12	0, 1, 2, 3, 4, 5, 6	0,0,1,1,1,1,1	NW_014569547.1	1	192424	198437	true	2768	28
gene12	RNA17	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11	0,0,0,0,2,0,2,2,0,0,0,1	NW_014569547.1	1	227309	292027	true	33842	25
gene13	RNA18	0, 1, 2, 3, 4, 5, 6	0,0,2,1,1,2,1	NW_014569547.1	-1	302356	306814	true	1006	6
gene13	RNA20	7, 2, 3, 4, 5, 6	0,2,1,1,2,1	NW_014569547.1	-1	302356	305853	true	338	6
gene14	RNA22	0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14	0,2,1,0,2,0,2,1,2,0,0,1,1,1,0	NW_014569547.1	-1	314209	360156	true	10837	30
gene14	RNA23	0, 1, 2, 3, 4, 5, 6, 7, 15, 9, 10, 11, 12, 13, 14	0,2,1,0,2,0,2,1,2,0,0,1,1,1,0	NW_014569547.1	-1	314209	360156	true	10837	30
gene15	RNA25	0, 1, 2, 3, 4, 5, 6, 7	0,2,1,0,0,2,2,0	NW_014569547.1	-1	517818	539386	true	6609	32
